content,url,repost,comment,like,nickname,uid,user_link,publish_time,date,period
【投票 | 怎么样的智驾才算合格的、优秀的？#你觉得智驾功能鸡肋吗#？】#交警多次提醒勿盲目信任辅助驾驶#安徽小米SU7致命车祸也引发业内反思讨论，智能驾驶系统到底好不好用？怎么样的智驾才算合格的、优秀的？#网友曝小米汽车车主驾驶中睡着#北方工业大学汽车产业创新研究中心研究员张翔认为，目前 ​  展开c,https://weibo.com/1314608344/5151031189307621,2,2,123,新闻晨报,1314608344,https://weibo.com/u/1314608344,2025-04-02 17:10:00,2025-04-02,After accident
来，昨晚吉利发布千里浩瀚智驾系统，分五个阶段及版本，H1、H3、H5、H7、H9。H1 ： 标配 100TOPS 以上算力，全系支持高速 NOA 和记忆泊车 HPA H3 ： 标配城区智驾，最低支持城区通勤 NOA 。 H5 ： 支持 E2E 大模型，城区无图 NOA 和车位到车位领航辅助H7 ： 支持 VLM 和数字先觉网络，以及车位到车 ​  展开c,https://weibo.com/7852325777/5140401649879694,1,11,12,车圈小师妹Macaria,7852325777,https://weibo.com/u/7852325777,2025-03-04 09:12:00,2025-03-04,One month before accident
影响太大了，今天早晨买早餐遇到朋友，都在问我小米汽车的事我说的也很简单，目前的所有智驾第一责任人都是驾驶员，务必保持接管状态智驾只是能减少驾驶员的疲劳和一定程度上的兜底千万不要以为你们现在的智驾是自动驾驶，还早尤其是100TOPS左右，以视觉为主的高速NOA别指望可以帮你太多遇到 ​  展开c,https://weibo.com/2863918220/5151282025989562,61,214,394,科技九洲君,2863918220,https://weibo.com/u/2863918220,2025-04-03 09:46:00,2025-04-03,After accident
比亚迪把高速辅助驾驶NOA给标配了，7万的海鸥都有了，而大嘴说有些企业把入门级的辅助驾驶说成高阶智驾。所以，现在高速领航NOA都不能高阶辅助驾驶了吗？#比亚迪普及智驾引热议# ​,https://weibo.com/1677920540/5133511374406013,2,73,181,CarEngineer何先生,1677920540,https://weibo.com/u/1677920540,2025-02-13 08:52:00,2025-02-13,Earlier than one month
快过年了，比亚迪给汽车行业和用户整了波大的新年礼物！比亚迪高阶智能驾驶辅助系统“天神之眼”在全国开通无图城市领航（CNOA）功能，基于无图NOA技术，采用端到端大模型架构，可实现多种驾驶行为及环岛通行、自动进入待转区等功能，此次升级车型有仰望U8（豪华版）、腾势Z9GT、腾势N7。让升级车型全 ​  展开c,https://weibo.com/1978107555/5115508511475885,23,99,192,手机界大佬,1978107555,https://weibo.com/u/1978107555,2024-12-25 16:35:00,2024-12-25,Earlier than one month
比亚迪高阶智能驾驶辅助系统“天神之眼”陆续进行OTA推送。在今年6月，比亚迪的无图高快领航功能已实现全国开通。在高阶智驾中，高速NOA功能的搭载量显著上升，逐渐成为行业标配。此次升级，无图城市领航（CNOA）功能将在全国范围内开通，升级后实现“全国都能开，有路都好开”。此次无图城市领航功能 ​  展开c,https://weibo.com/5347941330/5115843169747616,19,35,101,浩黑森,5347941330,https://weibo.com/u/5347941330,2024-12-26 14:45:00,2024-12-26,Earlier than one month
【述评｜追问#小米汽车#事故：智驾安全需要哪些支柱？】3月29日晚间，一辆小米电动轿车在高速公路行驶过程中发生严重交通事故。驾驶员和两名乘客全部身亡。汽车行业正在快速向智能化、电动化转型，此次事故再度把汽车安全话题展现在公众面前。O述评｜追问小米汽车事故：智驾安全需要哪些支柱？　　根据小米同日午间公布的初步信 ​  展开c,https://weibo.com/1663937380/5151284315816126,5,16,57,财新网,1663937380,https://weibo.com/u/1663937380,2025-04-03 09:55:00,2025-04-03,After accident
比亚迪高阶智能驾驶辅助系统“天神之眼”在全国范围内正式开通无图城市领航（CNOA）功能。不管是城市还是乡间小路都能轻松应对，真正做到了“全国都能开，有路都好开”，不得不说，就目前这个智驾能力比亚迪天神之眼稳居行业第一梯队基于先进无图 NOA 技术，采用端到端大模型架构，可以轻松应对复杂 ​  展开c,https://weibo.com/5646755956/5115211982574554,8,32,53,科技安妮,5646755956,https://weibo.com/u/5646755956,2024-12-24 20:57:00,2024-12-24,Earlier than one month
看到一堆人又大规模的吹什么L3，感觉还是有必要说两句，L3也是辅助驾驶，而更高级别的L4，仍然是辅助驾驶！作为驾驶员，请永远不要过分相信智驾，无论是谁的智驾，无论它是什么等级，作为驾驶员，在路上的时候，一定一定一定要实时的观察路况，随时准备介入。智驾是一种辅助驾驶手段，它的存在，可 ​  展开c,https://weibo.com/7397646384/5151381309101523,9,80,434,阿苯,7397646384,https://weibo.com/u/7397646384,2025-04-03 16:21:00,2025-04-03,After accident
东风奕派eπ008太实用了，智驾版全系标配32个智能感知硬件，包括13颗摄像头、5个毫米波雷达、12个超声波雷达以及1个高精定位单元，支持24项智能辅助驾驶功能，像是高速NOA领航辅助驾驶、LAPA记忆泊车、FAPA融合泊车等，这都能显著提升驾驶的安全性和便利性。还喜欢东风奕派eπ008车内自带的冷暖两用 ​  展开c,https://weibo.com/1737564210/5144387302460561,15,59,61,M1NW3N12P,1737564210,https://weibo.com/u/1737564210,2025-03-15 09:09:00,2025-03-15,One month before accident
